ID,target
mp-977369,0.33
mp-981530,0.36
mp-990448,0.19
mp-996971,0.42
mp-1001113,0.69
mp-1018070,0.48
mp-1024990,0.28
mp-1025183,0.19
mp-10266,0.29
mp-1029834,0.29
mp-10712,0.32
mp-12075,0.25
mp-13090,0.2
mp-13117,0.44
mp-1439,0.32
mp-1738,0.23
mp-18918,0.33
mp-18919,0.39
mp-1941,0.37
mp-2093,0.33
mp-2123,0.34
mp-21381,0.37
mp-22598,0.32
mp-2740,0.38
mp-29496,0.1
mp-31055,0.19
mp-31205,0.34
mp-31756,0.25
mp-3405,0.31
mp-35717,0.23
mp-487,0.18
mp-530274,0.23
mp-548,0.37
mp-569848,0.35
mp-570113,0.4
mp-571211,0.77
mp-571506,0.21
mp-7038,0.26
mp-754326,0.3
mp-862297,0.31
mp-867211,0.47
mp-867834,0.44
mp-9371,0.25
mp-961664,0.39
mp-975646,0.35
mp-978287,0.17
mp-989613,0.31
mvc-4299,0.34
mp-10142,0.22
mp-1025331,0.3
mp-10598,0.31
mp-11266,0.35
mp-11299,0.34
mp-15651,0.31
mp-19773,0.22
mp-21022,0.19
mp-22779,0.31
mp-22964,0.2
mp-2399,0.32
mp-2418,0.24
mp-2426,0.39
mp-2582,0.19
mp-29088,0.25
mp-29364,0.23
mp-29520,0.25
mp-30340,0.39
mp-30349,0.36
mp-30500,0.39
mp-3055,0.32
mp-30768,0.2
mp-30885,0.25
mp-3299,0.24
mp-349,0.18
mp-3740,0.38
mp-4611,0.34
mp-4651,0.25
mp-5072,0.29
mp-541989,0.31
mp-542791,0.29
mp-558149,0.34
mp-559998,0.24
mp-569857,0.27
mp-570673,0.29
mp-581733,0.32
mp-631302,-0.0
mp-631576,0.39
mp-637576,0.66
mp-6686,0.46
mp-754631,5.61
mp-758052,0.41
mp-7914,0.22
mp-8022,1.39
mp-8432,0.22
mp-865284,0.36
mp-867287,0.28
mp-867877,0.53
mp-975896,0.35
mp-976106,0.26
mp-977363,0.26
mp-977542,0.34
mp-1008798,0.33
mp-1013713,0.29
mp-10600,0.27
mp-11270,0.13
mp-12696,0.37
mp-13903,0.13
mp-20384,0.28
mp-23267,0.28
mp-2547,0.37
mp-2553,0.18
mp-2739,-0.54
mp-27638,0.3
mp-27835,0.38
mp-29556,0.36
mp-29900,0.32
mp-30656,0.3
mp-30846,0.36
mp-3211,0.28
mp-3677,0.25
mp-4227,0.43
mp-504594,0.36
mp-558059,0.28
mp-567431,0.32
mp-568792,0.29
mp-570686,0.34
mp-571247,0.21
mp-643257,0.27
mp-644264,0.21
mp-762271,0.54
mp-810,0.31
mp-862892,0.35
mp-862918,0.28
mp-862989,0.38
mp-864607,0.39
mp-864892,0.45
mp-865050,0.3
mp-866141,0.24
mp-867128,0.37
mp-8994,0.3
mp-961688,0.44
mp-971763,0.94
mp-976291,0.23
mp-983604,0.36
mp-989562,0.16
mp-996961,0.29
mp-1001914,0.33
mp-1025105,0.24
mp-1029349,0.27
mp-10636,0.18
mp-1076,0.19
mp-1094490,0.39
mp-11436,0.26
mp-13031,0.34
mp-15605,0.28
mp-1877,0.19
mp-19276,0.32
mp-19299,0.25
mp-1969,0.21
mp-20083,0.27
mp-21440,0.29
mp-2201,0.26
mp-2250,0.31
mp-22877,0.23
mp-27546,0.3
mp-29736,0.22
mp-30865,0.33
mp-4174,0.2
mp-4229,0.25
mp-4433,0.24
mp-495,0.28
mp-505244,0.29
mp-568711,0.3
mp-569807,0.32
mp-571461,0.26
mp-571500,0.19
mp-605860,0.33
mp-6394,0.26
mp-6459,0.29
mp-669,0.23
mp-672294,0.17
mp-680671,0.28
mp-861610,0.26
mp-862896,0.34
mp-865171,0.33
mp-865184,-1.52
mp-865656,0.29
mp-867507,0.27
mp-867807,0.21
mp-867881,0.31
mp-9,0.26
mp-9010,0.32
mp-915,0.31
mp-9208,0.17
mp-9262,0.32
mp-972626,0.57
mp-972845,0.28
mp-975814,1.18
mp-977113,0.52
mp-978290,0.35
mp-978808,0.26
mp-981234,0.62
mp-999133,0.34
mvc-14941,0.21
mvc-5816,0.27
mp-1013546,0.23
mp-1018745,0.31
mp-1022723,0.32
mp-1023329,0.29
mp-1025358,0.23
mp-10632,0.26
mp-10667,0.24
mp-13119,0.4
mp-1383,0.33
mp-1526,0.3
mp-16053,0.19
mp-1730,0.25
mp-1866,0.32
mp-20340,0.25
mp-23499,0.28
mp-2757,0.43
mp-27579,0.28
mp-28549,0.21
mp-32539,0.35
mp-335,0.19
mp-345,0.3
mp-504711,0.44
mp-5122,0.27
mp-555599,0.36
mp-560023,0.16
mp-568544,0.31
mp-631427,0.96
mp-631557,-2.32
mp-6754,0.33
mp-715923,0.28
mp-754223,0.25
mp-755689,0.27
mp-764163,0.27
mp-865866,0.44
mp-866314,0.25
mp-8666,0.33
mp-972541,0.35
mp-977374,0.45
mp-978088,0.25
mp-9919,0.26
mp-1001833,0.31
mp-1008753,0.54
mp-1018743,0.34
mp-1025182,0.24
mp-1025315,0.29
mp-11023,0.36
mp-11819,0.21
mp-12599,0.35
mp-1331,0.26
mp-13313,0.25
mp-20935,0.32
mp-21124,0.29
mp-23177,0.3
mp-2647,0.36
mp-28692,0.11
mp-4763,0.24
mp-49,0.23
mp-568398,0.3
mp-568725,0.23
mp-6074,-0.11
mp-644389,0.22
mp-754455,0.26
mp-7557,0.28
mp-760417,0.15
mp-7753,0.38
mp-776404,0.3
mp-8307,0.3
mp-8577,0.17
mp-862732,0.41
mp-862891,-1.44
mp-865119,0.35
mp-865152,0.37
mp-865582,0.38
mp-865678,0.31
mp-866166,0.33
mp-867278,0.34
mp-962078,0.31
mp-973250,0.36
mp-976863,0.26
mp-982975,0.48
mp-983497,0.36
mp-9999,0.25
mp-1001843,-1.57
mp-1008561,0.22
mp-1009823,0.35
mp-1017533,0.25
mp-1018153,0.48
mp-1023319,0.24
mp-1025318,0.34
mp-1025453,0.35
mp-10738,0.32
mp-11413,0.22
mp-147,0.4
mp-15895,0.3
mp-16293,0.23
mp-1793,0.33
mp-20492,0.29
mp-20949,0.28
mp-23004,0.33
mp-2302,0.36
mp-25053,0.32
mp-2512,0.37
mp-2783,0.28
mp-2964,0.25
mp-429,0.31
mp-510657,0.47
mp-551900,0.29
mp-560671,0.31
mp-568411,0.37
mp-569974,0.24
mp-616458,0.34
mp-754,0.29
mp-755066,0.3
mp-756214,0.27
mp-760403,0.34
mp-760414,0.38
mp-861629,0.36
mp-863651,0.28
mp-864630,0.27
mp-864743,0.32
mp-864755,0.55
mp-865003,0.28
mp-865468,0.38
mp-865533,0.3
mp-865652,0.28
mp-865728,0.32
mp-9025,0.3
mp-9664,0.32
mp-972981,0.33
mp-973004,0.39
mp-973374,0.3
mp-975333,0.42
mp-976,0.23
mp-976111,0.5
mp-976426,0.1
mp-978542,0.33
mp-982015,0.27
mp-982388,0.28
mp-983428,0.33
mp-989608,0.32
mp-9950,0.23
mvc-2949,0.28
mp-1008835,0.27
mp-1009829,0.35
mp-1018639,0.29
mp-1021305,0.21
mp-1025123,0.31
mp-1029776,0.3
mp-1033,0.56
mp-1039124,0.26
mp-1039154,0.5
mp-10564,0.25
mp-1086,0.23
mp-1391,0.36
mp-18759,0.33
mp-18878,0.29
mp-19729,0.28
mp-226,0.15
mp-22673,0.36
mp-2459,0.31
mp-27606,0.24
mp-27682,0.29
mp-30443,0.19
mp-30739,0.34
mp-30788,0.3
mp-38103,0.15
mp-39105,0.21
mp-4124,0.35
mp-4419,0.2
mp-5518,0.34
mp-567695,0.38
mp-569752,0.4
mp-570466,0.26
mp-570722,0.24
mp-631333,0.61
mp-631541,0.55
mp-685022,0.28
mp-7364,0.33
mp-776250,0.31
mp-8566,0.36
mp-862586,0.26
mp-862750,0.3
mp-866522,0.29
mp-867260,0.42
mp-867867,-0.79
mp-893,0.23
mp-8936,-0.06
mp-9244,0.16
mp-9264,0.42
mp-9382,0.21
mp-977352,0.32
mp-1017550,0.49
mp-1019359,0.3
mp-1025232,0.23
mp-1029550,0.35
mp-1104,0.25
mp-11971,0.32
mp-13829,0.35
mp-16266,0.19
mp-1635,0.27
mp-1652,0.33
mp-19118,0.3
mp-20269,0.45
mp-20632,0.18
mp-22541,0.47
mp-23280,0.28
mp-27175,0.29
mp-27296,0.36
mp-29196,0.29
mp-2979,0.26
mp-29896,0.31
mp-30004,0.31
mp-30497,0.26
mp-31182,0.25
mp-313,0.34
mp-3813,0.28
mp-46,0.32
mp-505297,0.33
mp-5186,0.33
mp-5400,0.38
mp-567948,0.02
mp-753176,0.35
mp-754434,0.36
mp-7889,0.33
mp-800,0.14
mp-8098,0.31
mp-862556,0.45
mp-867107,0.29
mp-8927,0.36
mp-9487,0.33
mp-961648,0.76
mp-971757,0.49
mp-974625,0.27
mp-977537,0.33
mp-978272,0.29
mp-979009,0.32
mp-984721,0.29
mp-1025311,0.37
mp-12752,0.21
mp-15704,0.2
mp-19962,0.38
mp-20463,0.37
mp-20793,0.25
mp-21271,0.29
mp-22848,0.25
mp-23021,0.29
mp-24237,0.23
mp-2715,0.22
mp-28593,0.12
mp-30019,0.27
mp-30839,0.39
mp-3970,0.32
mp-4865,0.28
mp-5025,0.22
mp-5515,0.17
mp-570506,0.17
mp-570557,0.31
mp-631505,0.41
mp-634,0.14
mp-762506,0.29
mp-7882,0.38
mp-803,0.2
mp-8308,0.28
mp-862862,0.3
mp-864614,0.31
mp-865497,0.29
mp-866228,0.29
mp-871,0.23
mp-929,0.3
mp-974883,0.32
mp-980941,0.27
mp-989568,0.42
mp-1008634,0.42
mp-1009077,0.28
mp-1025116,0.38
mp-1029784,0.33
mp-10421,0.24
mp-10753,2.25
mp-10909,0.27
mp-11752,0.27
mp-1179,0.29
mp-12764,0.34
mp-1502,0.36
mp-16263,0.19
mp-1699,0.27
mp-18971,0.34
mp-20284,0.68
mp-22660,0.37
mp-24658,0.24
mp-2611,0.24
mp-2807,0.24
mp-2815,0.22
mp-4,0.37
mp-540572,0.36
mp-5590,0.18
mp-567982,0.29
mp-568516,0.24
mp-633538,0.25
mp-634659,0.59
mp-6916,0.21
mp-768870,0.25
mp-8013,0.38
mp-8090,0.25
mp-867227,0.41
mp-961709,0.44
mp-975651,0.25
mp-976264,0.59
mp-976281,0.25
mp-982665,0.66
mp-983388,0.32
mp-9983,0.27
mp-999503,0.4
mp-1007975,0.66
mp-1017556,0.35
mp-1025053,0.39
mp-10423,0.3
mp-1101,0.22
mp-11021,0.32
mp-11250,0.33
mp-11252,0.39
mp-12382,0.27
mp-12675,0.37
mp-19817,0.18
mp-19990,0.44
mp-20064,0.19
mp-20978,0.37
mp-22996,0.38
mp-23189,0.33
mp-23231,0.39
mp-30877,0.32
mp-31277,0.29
mp-3208,0.2
mp-36111,0.19
mp-36480,0.31
mp-3689,0.31
mp-500,0.25
mp-510219,0.28
mp-53,1.67
mp-5757,0.27
mp-638,0.26
mp-675009,0.29
mp-7041,0.4
mp-770771,0.26
mp-864674,0.26
mp-865254,0.3
mp-865742,0.44
mp-866079,0.41
mp-891,0.33
mp-9321,0.28
mp-976423,0.49
mp-982666,0.3
mp-1007761,0.27
mp-1009792,0.39
mp-1017516,0.58
mp-1019054,0.26
mp-1025213,0.38
mp-1025312,0.37
mp-1029799,0.3
mp-11576,0.25
mp-11771,0.33
mp-12862,0.3
mp-1696,0.33
mp-1851,0.42
mp-203,0.35
mp-20768,0.84
mp-20860,0.27
mp-2183,0.38
mp-2284,0.34
mp-23164,-0.02
mp-24420,-11.06
mp-27367,0.24
mp-28395,0.14
mp-28954,0.39
mp-29809,0.22
mp-30371,0.37
mp-375,0.32
mp-3795,0.33
mp-493,0.31
mp-542812,0.22
mp-568914,0.35
mp-569028,-0.76
mp-569304,0.19
mp-571143,0.28
mp-580236,0.21
mp-6098,0.3
mp-631371,0.31
mp-675626,0.34
mp-6986,0.23
mp-753156,0.3
mp-777047,0.32
mp-788,0.3
mp-8537,0.24
mp-862759,0.24
mp-864962,0.27
mp-865808,0.34
mp-865964,0.07
mp-8789,0.2
mp-8882,0.23
mp-962061,0.04
mp-974789,-0.62
mp-982261,0.12
mp-996964,0.38
mp-9988,0.28
mp-999473,0.35
mp-10038,0.31
mp-1008786,0.25
mp-10118,0.21
mp-1013549,0.21
mp-1021516,-0.21
mp-1259,0.15
mp-12595,0.28
mp-13277,0.2
mp-13453,0.39
mp-1385,0.29
mp-13914,0.24
mp-1542,0.15
mp-16366,0.46
mp-19968,0.24
mp-20255,0.28
mp-20987,0.23
mp-21109,0.32
mp-21854,0.39
mp-22682,0.36
mp-2285,0.32
mp-23068,0.18
mp-23956,0.2
mp-27393,0.23
mp-29502,0.2
mp-30717,0.54
mp-3390,0.24
mp-3808,0.29
mp-5109,0.29
mp-567313,0.22
mp-569270,0.17
mp-5976,0.23
mp-604321,0.34
mp-669382,0.51
mp-685935,-0.15
mp-704645,0.42
mp-755252,0.37
mp-862697,0.21
mp-862779,0.27
mp-864965,-2.92
mp-866170,0.87
mp-8689,0.23
mp-973269,0.44
mp-978546,0.25
mp-999069,0.37
mp-999295,0.34
mp-10044,0.13
mp-1017509,0.24
mp-1019272,0.26
mp-1024957,0.27
mp-1027890,0.22
mp-1029506,0.31
mp-12055,0.28
mp-12779,0.33
mp-13444,0.3
mp-15556,0.17
mp-16529,0.28
mp-16645,0.37
mp-1883,0.22
mp-18924,0.28
mp-19009,0.35
mp-19331,0.28
mp-19413,0.26
mp-1959,0.32
mp-19774,0.29
mp-20001,0.32
mp-2059,0.27
mp-20697,0.32
mp-21471,0.25
mp-2168,0.28
mp-22546,0.35
mp-2361,0.31
mp-24286,0.4
mp-27255,0.21
mp-2853,0.23
mp-28793,0.28
mp-29138,-0.05
mp-30405,0.32
mp-31185,0.24
mp-31209,0.17
mp-3698,0.2
mp-4037,0.24
mp-5479,0.28
mp-557533,0.42
mp-567590,0.37
mp-568390,-4.13
mp-571352,0.37
mp-593,0.27
mp-622570,0.31
mp-631575,0.52
mp-631633,0.28
mp-7275,0.23
mp-861994,0.32
mp-862367,0.3
mp-863709,0.24
mp-865759,0.36
mp-865842,0.28
mp-971928,0.47
mp-972680,0.26
mp-974708,0.35
mp-981214,0.35
mp-989544,0.53
mp-989580,-0.14
mp-1001786,0.17
mp-1009221,0.17
mp-10172,0.32
mp-1017446,0.29
mp-1025278,0.26
mp-1025325,0.19
mp-1039508,0.48
mp-10876,0.21
mp-12771,-2.79
mp-16115,0.32
mp-1697,0.3
mp-20296,0.36
mp-21065,0.15
mp-22302,0.25
mp-22313,0.33
mp-2275,0.24
mp-23313,0.29
mp-27897,0.31
mp-36209,0.31
mp-36779,0.11
mp-504886,0.32
mp-542854,0.23
mp-543024,0.31
mp-571059,0.35
mp-612740,0.25
mp-697044,0.3
mp-753298,0.22
mp-754154,0.29
mp-862629,0.24
mp-862815,0.46
mp-864938,0.34
mp-865015,0.44
mp-865172,0.33
mp-865470,0.37
mp-865994,0.33
mp-867259,0.35
mp-975997,0.48
mp-1008225,-2.56
mp-1008498,1.2
mp-1018023,0.37
mp-1024999,0.22
mp-10274,0.32
mp-1029378,0.28
mp-10718,0.38
mp-11400,0.33
mp-13572,0.32
mp-1476,0.28
mp-19391,0.31
mp-19438,0.26
mp-19713,0.24
mp-19799,0.32
mp-20268,0.3
mp-20557,0.27
mp-2187,0.28
mp-22087,0.29
mp-24416,0.67
mp-2612,0.14
mp-2675,0.29
mp-28174,0.22
mp-28978,0.32
mp-30057,0.36
mp-4471,0.26
mp-510076,0.33
mp-552588,0.24
mp-569581,0.37
mp-569671,0.26
mp-570256,0.32
mp-570899,0.29
mp-573697,0.28
mp-680932,0.3
mp-690785,0.23
mp-7589,0.22
mp-762225,0.32
mp-7790,0.26
mp-8059,0.06
mp-862733,0.31
mp-9761,0.26
mp-977062,0.3
mp-980665,0.7
mp-997041,0.31
mp-998903,0.37
mp-999059,0.55
mp-999389,0.34
mp-1008876,0.44
mp-1016842,0.41
mp-1018054,0.29
mp-1018672,0.25
mp-10198,0.3
mp-1022116,0.31
mp-1025168,0.43
mp-11191,0.17
mp-13496,0.49
mp-1834,0.39
mp-19761,0.36
mp-20122,0.16
mp-20304,0.27
mp-21449,0.29
mp-22095,0.41
mp-22510,0.27
mp-2746,0.31
mp-27954,0.29
mp-30867,0.34
mp-379,0.51
mp-4158,0.31
mp-505569,0.29
mp-542909,0.36
mp-567406,0.28
mp-581754,0.28
mp-639789,0.32
mp-745,0.56
mp-8137,0.32
mp-864735,0.3
mp-865044,0.3
mp-866033,0.29
mp-866820,-6.28
mp-9636,0.34
mp-971744,0.35
mp-971933,0.24
mp-971958,0.35
mp-974866,0.41
mp-975322,0.46
mp-975578,0.42
mp-978853,0.25
mp-982511,0.28
mp-983427,0.43
mp-984049,0.16
mp-996,0.34
mp-1001824,-102.89
mp-1008525,0.25
mp-1008873,0.33
mp-1009848,0.41
mp-1018814,0.32
mp-1025236,0.25
mp-10470,0.28
mp-10810,0.14
mp-1100,0.44
mp-11533,0.31
mp-13007,0.21
mp-13811,0.28
mp-19210,0.35
mp-22216,0.33
mp-23295,0.28
mp-30494,0.31
mp-3050,0.25
mp-35591,0.22
mp-3718,0.33
mp-38970,0.22
mp-3917,0.35
mp-5549,0.34
mp-558694,0.2
mp-558781,0.32
mp-566278,0.32
mp-567366,0.65
mp-569196,0.33
mp-582360,0.33
mp-5881,0.22
mp-631518,0.53
mp-725,0.32
mp-753722,0.32
mp-755342,0.29
mp-8279,0.24
mp-8547,0.26
mp-862335,0.31
mp-862690,0.25
mp-8633,0.69
mp-863705,0.29
mp-8676,0.33
mp-867795,0.34
mp-8682,0.23
mp-9385,0.12
mp-95,0.27
mp-975382,0.84
mp-976133,0.04
mp-977385,0.55
mp-985584,0.39
mp-998344,0.32
mp-1001913,0.81
mp-1004526,0.31
mp-1019262,0.33
mp-1019361,0.3
mp-1025077,0.32
mp-1029457,0.35
mp-11283,0.16
mp-15236,0.25
mp-16421,0.29
mp-1840,0.32
mp-1968,0.35
mp-19835,0.25
mp-23279,0.46
mp-23736,0.18
mp-30339,0.33
mp-30449,0.31
mp-3340,0.29
mp-542757,0.31
mp-5589,0.25
mp-610,0.16
mp-615314,0.28
mp-6628,0.31
mp-753712,0.26
mp-7623,0.26
mp-769218,0.24
mp-8481,0.15
mp-863736,0.33
mp-865507,0.3
mp-865519,0.34
mp-865603,0.33
mp-867109,0.31
mp-867123,0.33
mp-867160,0.41
mp-867801,0.62
mp-9306,0.27
mp-9567,0.23
mp-971857,0.59
mp-972048,0.21
mp-972071,0.4
mp-972420,0.31
mp-972529,2.6
mp-975272,0.3
mp-977362,0.32
mp-978100,0.37
mp-978911,0.33
mp-9808,0.3
mp-984785,0.25
mp-997009,0.34
mp-999508,0.44
mp-10010,0.27
mp-1009488,0.36
mp-1009820,0.22
mp-1017554,0.33
mp-1018694,0.22
mp-1023366,0.2
mp-1025067,0.24
mp-1025379,0.2
mp-1025415,0.35
mp-1039293,-0.33
mp-10965,0.28
mp-12725,0.32
mp-13475,0.27
mp-13590,0.39
mp-153,0.29
mp-16043,0.36
mp-1655,0.42
mp-1823,0.27
mp-18779,0.29
mp-1898,0.28
mp-1975,0.2
mp-20711,0.38
mp-20800,0.27
mp-22396,0.28
mp-22864,0.37
mp-2297,0.34
mp-23353,0.24
mp-24155,0.7
mp-27321,0.3
mp-2816,0.33
mp-28567,0.33
mp-31018,0.25
mp-31086,0.27
mp-3486,0.35
mp-36,0.32
mp-4073,0.32
mp-505216,0.29
mp-562102,0.29
mp-568495,0.34
mp-568671,0.24
mp-5692,0.34
mp-570771,0.18
mp-603640,0.3
mp-6931,0.23
mp-862667,0.26
mp-862703,0.37
mp-862843,0.41
mp-865020,0.27
mp-865325,0.3
mp-961683,0.56
mp-975443,0.36
mp-9907,0.23
mp-9961,0.29
mp-999498,0.16
mp-10134,0.47
mp-1014303,0.25
mp-1025497,0.19
mp-1039208,0.35
mp-1039385,0.38
mp-1085,0.5
mp-10967,0.32
mp-11580,0.25
mp-14006,0.31
mp-16364,0.46
mp-16719,0.19
mp-16734,0.31
mp-171,0.3
mp-1848,0.24
mp-18803,0.27
mp-1977,0.41
mp-20229,0.37
mp-21005,0.46
mp-30206,0.34
mp-30778,0.3
mp-477,0.19
mp-5364,0.32
mp-563,0.29
mp-568139,0.41
mp-690536,0.26
mp-753059,0.19
mp-861639,0.35
mp-862374,0.4
mp-864733,0.25
mp-865090,0.34
mp-865376,0.3
mp-865472,0.32
mp-865939,0.2
mp-9564,0.21
mp-977376,0.39
mp-977399,0.31
mp-978557,0.39
mp-989635,0.31
mp-9929,0.26
mp-998968,0.39
mp-1006146,0.23
mp-1008226,0.47
mp-1009213,0.48
mp-1018089,0.33
mp-1018644,0.56
mp-1025301,0.31
mp-1029474,0.22
mp-11300,0.33
mp-11375,0.27
mp-11547,0.34
mp-11577,0.37
mp-11788,0.36
mp-12444,0.28
mp-1539,0.25
mp-1556,0.33
mp-159,0.26
mp-1590,0.09
mp-19257,0.25
mp-1932,0.32
mp-20714,0.22
mp-21508,0.34
mp-22795,0.4
mp-22916,0.31
mp-2313,0.33
mp-28266,0.27
mp-2831,0.3
mp-28391,0.49
mp-31219,0.3
mp-31220,0.24
mp-4876,0.31
mp-5221,0.28
mp-555359,0.3
mp-555718,0.34
mp-568106,0.32
mp-605034,0.24
mp-631532,0.8
mp-631570,-0.05
mp-6504,0.31
mp-672299,0.32
mp-753581,0.42
mp-755759,0.33
mp-7581,0.21
mp-759897,0.43
mp-7964,0.34
mp-862849,0.39
mp-865066,0.17
mp-865467,0.39
mp-865563,0.45
mp-865611,0.3
mp-865780,0.29
mp-866108,0.53
mp-866150,0.32
mp-925,0.28
mp-961676,0.65
mp-981391,0.41
mp-985592,0.72
mp-993,0.77
mp-1008926,0.44
mp-1022207,0.28
mp-1025223,0.22
mp-1025365,0.23
mp-11260,0.44
mp-11486,0.22
mp-13967,0.27
mp-14116,0.38
mp-16349,0.37
mp-18972,0.27
mp-1979,0.33
mp-21377,0.24
mp-22736,0.32
mp-23067,0.26
mp-23959,0.24
mp-2449,0.25
mp-28460,0.27
mp-29674,0.31
mp-30043,0.28
mp-30953,0.24
mp-3635,0.29
mp-4691,0.36
mp-559044,0.34
mp-568974,0.31
mp-569406,0.25
mp-603694,0.25
mp-632808,0.33
mp-645159,0.31
mp-753802,0.34
mp-8282,0.26
mp-865990,0.21
mp-867319,0.29
mp-867353,0.4
mp-867927,0.29
mp-917,0.35
mp-9251,0.23
mp-961703,0.7
mp-972530,0.37
mp-972898,0.28
mp-975044,0.31
mp-975834,0.27
mp-977383,0.51
mp-977390,0.36
mp-982773,-0.4
mp-9948,0.25
mp-1001837,0.64
mp-10049,0.32
mp-1009537,0.42
mp-1019541,0.23
mp-1028698,0.21
mp-1029442,0.31
mp-10521,0.29
mp-11288,0.33
mp-12875,0.32
mp-1474,0.21
mp-1546,0.19
mp-15777,0.23
mp-18198,0.3
mp-19148,0.33
mp-20708,0.3
mp-274,0.26
mp-28895,0.33
mp-30383,0.31
mp-410,0.31
mp-4556,0.3
mp-504731,0.31
mp-555229,0.34
mp-568354,0.27
