ids,target,prediction
mp-2068,0.24,-0.05880624
mp-2489,0.41,0.68796086
mp-28150,0.33,0.13123678
mp-30028,0.26,0.35028392
mp-31160,0.19,0.2140898
mp-31502,0.33,0.23589267
mp-3938,0.22,0.2037393
mp-555293,0.27,0.7046881
mp-568402,0.3,0.050169215
mp-571520,0.19,0.4147492
mp-625054,0.21,0.097081766
mp-6939,0.31,-0.918907
mp-752398,0.27,0.15531747
mp-7752,0.18,0.31501424
mp-8277,0.24,0.49332607
mp-862730,0.31,0.2391568
mp-862734,0.34,0.35489637
mp-862994,0.36,0.21631093
mp-864608,0.37,0.33070588
mp-864966,0.29,0.21524818
mp-867350,0.25,0.24616157
mp-972275,0.29,0.26644707
mp-975880,0.25,0.22014429
mp-977997,0.38,0.2782827
mp-1002222,0.26,-0.34488434
mp-10187,0.44,0.0874003
mp-1021672,0.37,0.102690026
mp-11918,0.26,0.18915997
mp-13682,0.2,0.21078245
mp-1495,0.3,0.087007955
mp-15178,0.25,0.21269815
mp-19149,0.22,0.04660563
mp-19306,0.34,0.18583386
mp-23711,0.22,0.26354617
mp-2499,0.25,0.22377469
mp-2652,0.31,0.4292879
mp-2666,0.33,0.23994897
mp-29633,0.4,0.2221341
mp-29751,0.38,0.43281084
mp-29803,0.24,0.4738413
mp-30822,0.45,0.37043536
mp-4519,0.25,0.2649939
mp-567456,0.17,0.109644726
mp-570578,0.23,0.60366327
mp-6988,0.39,0.66127604
mp-7421,0.21,0.3462755
mp-744,0.22,0.24766682
mp-862601,0.31,0.19665043
mp-863708,0.29,0.17997722
mp-865,0.26,-0.06855957
mp-865441,0.41,0.5336391
mp-866174,0.42,0.3106318
mp-867794,0.35,0.08796321
mp-961700,0.78,0.6493884
mp-978498,0.22,0.2924468
mp-999455,0.23,0.039435193
mvc-11152,0.39,0.13045554
mp-1017985,0.36,0.63255763
mp-13308,0.33,0.08102171
mp-14285,0.2,0.5012681
mp-14476,0.34,0.22558413
mp-1708,0.35,-0.2222425
mp-19282,0.32,0.3074183
mp-21313,0.27,0.06293671
mp-30175,0.25,0.34848857
mp-3833,0.28,0.37762845
mp-4047,0.57,0.22488587
mp-542777,0.36,0.21473335
mp-570229,0.31,0.22606121
mp-754358,0.28,0.1833977
mp-862842,0.38,0.3210532
mp-864927,0.3,0.48165727
mp-864972,0.32,0.5108723
mp-865459,0.34,0.47486562
mp-866225,0.39,0.18638565
mp-867357,0.28,0.21134804
mp-976343,0.35,0.3924381
mp-976425,0.3,0.48795158
mp-982779,0.31,0.16940309
mp-983585,0.5,0.666665
mp-999469,0.76,0.6617339
mp-1018148,0.32,0.5841215
mp-11705,0.23,0.046656415
mp-12097,0.24,-0.03418918
mp-134,0.37,-0.26128465
mp-14336,0.39,0.5068375
mp-28797,0.2,0.28160632
mp-30670,0.45,-0.44068098
mp-4429,0.28,0.1433823
mp-5022,0.28,0.1665176
mp-672388,-1.27,0.29882646
mp-753181,0.3,0.4405005
mp-755920,0.32,0.18656419
mp-865662,0.35,0.58806854
mp-866069,0.3,0.19225086
mp-981530,0.36,0.33071786
mp-990448,0.19,-9.801203
mp-996971,0.42,0.12106173
mp-1001113,0.69,0.47487336
mp-1024990,0.28,0.16367625
mp-1025183,0.19,0.12771066
mp-1029834,0.29,0.30229717
mp-12075,0.25,0.23979907
mp-13117,0.44,0.7127207
mp-1439,0.32,0.35074776
mp-1738,0.23,0.35500646
mp-1941,0.37,-0.2445466
mp-21381,0.37,0.5092723
mp-22598,0.32,0.30381674
mp-2740,0.38,0.19414572
mp-29496,0.1,0.30303955
mp-31055,0.19,0.36758685
mp-31756,0.25,0.46170467
mp-3405,0.31,0.31249386
mp-35717,0.23,0.32644486
mp-487,0.18,0.33823848
mp-530274,0.23,0.2797438
mp-548,0.37,0.15504448
mp-571211,0.77,0.35007888
mp-7038,0.26,0.4292403
mp-862297,0.31,0.31409526
mp-867211,0.47,0.36928356
mp-867834,0.44,0.51238537
mp-9371,0.25,0.3508098
mp-975646,0.35,0.28898734
mp-978287,0.17,0.06588821
mp-989613,0.31,0.5689191
mvc-4299,0.34,0.3601663
mp-10142,0.22,0.32387286
mp-1025331,0.3,0.7064263
mp-10598,0.31,0.056065217
mp-11266,0.35,0.15795545
mp-11299,0.34,0.30297178
mp-15651,0.31,0.55006623
mp-19773,0.22,0.21109931
mp-22779,0.31,0.299411
mp-22964,0.2,0.33274275
mp-2399,0.32,0.49519593
mp-2426,0.39,0.42681998
mp-2582,0.19,0.31666285
mp-29088,0.25,0.19563614
mp-29364,0.23,0.35769892
mp-29520,0.25,0.2074797
mp-30349,0.36,0.4267624
mp-30500,0.39,0.29028177
mp-3299,0.24,0.40151381
mp-349,0.18,0.34351873
mp-3740,0.38,0.42121518
mp-4611,0.34,0.2286043
mp-4651,0.25,0.49373424
mp-5072,0.29,0.45449692
mp-558149,0.34,0.31392026
mp-559998,0.24,0.1842346
mp-569857,0.27,0.30654556
mp-631576,0.39,0.0730267
mp-637576,0.66,0.25650477
mp-6686,0.46,0.36864448
mp-754631,5.61,0.3508615
mp-758052,0.41,0.2004882
mp-7914,0.22,0.072329745
mp-8432,0.22,0.2799948
mp-865284,0.36,0.2861507
mp-867287,0.28,0.3196712
mp-867877,0.53,0.3847174
mp-976106,0.26,0.43931252
mp-977542,0.34,0.43776846
mp-1008798,0.33,0.7619985
mp-1013713,0.29,-0.12835687
mp-10600,0.27,-0.0013196319
mp-11270,0.13,0.2250901
mp-12696,0.37,0.5204216
mp-13903,0.13,0.031671137
mp-23267,0.28,0.22660933
mp-2739,-0.54,0.15581469
mp-27638,0.3,0.5549835
mp-27835,0.38,0.36766756
mp-29900,0.32,0.20296039
mp-30846,0.36,0.09951697
mp-3211,0.28,0.1514342
mp-3677,0.25,0.31111544
mp-4227,0.43,0.23274793
mp-504594,0.36,0.105012015
mp-568792,0.29,0.2013468
mp-570686,0.34,0.35444897
mp-571247,0.21,-0.0002733916
mp-643257,0.27,0.46498865
mp-810,0.31,0.2784425
mp-862892,0.35,0.29107034
mp-862918,0.28,0.15178548
mp-862989,0.38,0.38642138
mp-864607,0.39,0.47254246
mp-864892,0.45,0.36041492
mp-865050,0.3,0.27193534
mp-866141,0.24,0.23365317
mp-867128,0.37,0.4489656
mp-8994,0.3,0.30307096
mp-961688,0.44,0.10265271
mp-976291,0.23,0.362543
mp-983604,0.36,0.32777655
mp-989562,0.16,0.3722334
mp-996961,0.29,0.11575566
mp-1001914,0.33,0.2887131
mp-1076,0.19,0.2428324
mp-1094490,0.39,0.3797717
mp-11436,0.26,-0.030266926
mp-15605,0.28,0.15450118
mp-1877,0.19,0.4385907
mp-19276,0.32,0.10193841
mp-19299,0.25,0.22133808
mp-1969,0.21,0.13769399
mp-20083,0.27,0.37824118
mp-21440,0.29,0.20474993
mp-2201,0.26,0.39981455
mp-2250,0.31,0.42873025
mp-22877,0.23,0.620029
mp-29736,0.22,0.33989972
mp-30865,0.33,0.2020121
mp-4174,0.2,0.5177024
mp-4229,0.25,0.36347336
mp-4433,0.24,0.03275858
mp-495,0.28,0.15237479
mp-505244,0.29,0.29719818
mp-568711,0.3,0.5602849
mp-569807,0.32,0.6607656
mp-571461,0.26,0.14996733
mp-571500,0.19,0.37560427
mp-605860,0.33,0.3632899
mp-6394,0.26,0.21913622
mp-6459,0.29,-0.32708797
mp-669,0.23,1.5794189
mp-672294,0.17,0.07479496
mp-680671,0.28,-0.1579503
mp-861610,0.26,0.2922501
mp-862896,0.34,0.32978684
mp-865171,0.33,0.5566824
mp-865184,-1.52,0.3220886
mp-865656,0.29,0.1285515
mp-867507,0.27,0.1691358
mp-867807,0.21,0.42556983
mp-867881,0.31,0.26473737
mp-9,0.26,0.18620275
mp-9262,0.32,0.24136184
mp-972626,0.57,0.32339358
mp-975814,1.18,0.30856723
mp-977113,0.52,0.5703041
mp-978290,0.35,0.25491995
mp-981234,0.62,0.33944517
mp-999133,0.34,0.3372898
mvc-14941,0.21,0.35915738
mvc-5816,0.27,0.4884557
mp-1023329,0.29,0.45273936
mp-1025358,0.23,0.1325592
mp-10667,0.24,0.54698986
mp-13119,0.4,0.46640706
mp-1383,0.33,0.1434701
mp-1526,0.3,0.6802915
mp-16053,0.19,0.104662016
mp-1730,0.25,0.2811225
mp-20340,0.25,0.16272719
mp-2757,0.43,0.1819749
mp-27579,0.28,0.18280743
mp-28549,0.21,0.3997081
mp-32539,0.35,0.26875234
mp-335,0.19,0.07579492
mp-345,0.3,-0.024319425
mp-5122,0.27,-0.0044014603
mp-555599,0.36,0.15373309
mp-568544,0.31,0.2499653
mp-631427,0.96,0.97700065
mp-631557,-2.32,0.220785
mp-715923,0.28,0.14508997
mp-754223,0.25,0.1660736
mp-755689,0.27,0.21604188
mp-764163,0.27,-0.01107955
mp-865866,0.44,0.119510874
mp-866314,0.25,0.40641928
mp-8666,0.33,0.11287527
mp-972541,0.35,0.262591
mp-977374,0.45,0.28075016
mp-9919,0.26,0.24349873
mp-1008753,0.54,0.29374832
mp-11023,0.36,0.3298403
mp-12599,0.35,0.24262233
mp-1331,0.26,0.486188
mp-21124,0.29,0.3032881
mp-23177,0.3,0.48459113
mp-2647,0.36,0.48228574
mp-28692,0.11,0.20677416
mp-49,0.23,0.3600363
mp-568725,0.23,0.35669214
mp-6074,-0.11,0.5058722
mp-644389,0.22,0.6002934
mp-754455,0.26,0.44414836
mp-7753,0.38,0.5684632
mp-776404,0.3,-0.053722546
mp-8577,0.17,0.12263869
mp-862732,0.41,0.52207065
mp-862891,-1.44,0.33481914
mp-865119,0.35,0.35835707
mp-865582,0.38,0.3654381
mp-866166,0.33,0.41205257
mp-867278,0.34,0.40778404
mp-973250,0.36,0.031833664
mp-976863,0.26,0.31905538
mp-982975,0.48,0.060792193
mp-983497,0.36,0.2050773
mp-9999,0.25,0.09453063
mp-1001843,-1.57,0.279738
mp-1008561,0.22,0.051272705
mp-1009823,0.35,0.6982494
mp-1017533,0.25,0.43817812
mp-1018153,0.48,0.41749054
mp-1023319,0.24,0.4753012
mp-1025453,0.35,0.23650871
mp-10738,0.32,-0.6663244
mp-15895,0.3,0.3982613
mp-16293,0.23,0.04866706
mp-1793,0.33,-0.0067775995
mp-20949,0.28,0.3150515
mp-25053,0.32,0.29918826
mp-2512,0.37,0.39617705
mp-560671,0.31,0.39681256
mp-568411,0.37,-0.13953269
mp-569974,0.24,0.2018293
mp-616458,0.34,0.54798836
mp-754,0.29,0.076514795
mp-756214,0.27,0.16907321
mp-760403,0.34,0.38674057
mp-861629,0.36,0.30627906
mp-863651,0.28,0.35088837
mp-864630,0.27,0.22132005
mp-864743,0.32,0.5295834
mp-864755,0.55,0.19123553
mp-865468,0.38,0.3927263
mp-865533,0.3,0.4112056
mp-865652,0.28,0.21402855
mp-865728,0.32,0.47453552
mp-9025,0.3,0.29483587
mp-9664,0.32,0.07381378
mp-972981,0.33,0.5574252
mp-973004,0.39,0.27797735
mp-973374,0.3,0.5149791
mp-975333,0.42,-0.023817778
mp-976111,0.5,0.6608487
mp-976426,0.1,0.31649178
mp-982015,0.27,0.13807486
mp-982388,0.28,0.17960982
mp-989608,0.32,0.13993983
mp-9950,0.23,0.15716718
mp-1008835,0.27,0.51306576
mp-1009829,0.35,0.57751304
mp-1018639,0.29,0.258662
mp-1021305,0.21,0.28073663
mp-1039124,0.26,-0.15837248
mp-10564,0.25,0.6392801
mp-1086,0.23,0.04215409
mp-1391,0.36,0.84953994
mp-18759,0.33,0.099178
mp-18878,0.29,0.03614159
mp-30739,0.34,-0.81087387
mp-30788,0.3,0.3204847
mp-38103,0.15,0.060733065
mp-39105,0.21,0.29005784
mp-5518,0.34,0.58294517
mp-569752,0.4,0.2815346
mp-570722,0.24,0.39307004
mp-631333,0.61,0.26607805
mp-631541,0.55,0.23212732
mp-685022,0.28,0.19951154
mp-7364,0.33,0.33510363
mp-8566,0.36,0.71826845
mp-862586,0.26,0.6076233
mp-867260,0.42,0.53564805
mp-867867,-0.79,0.31679666
mp-893,0.23,0.22334011
mp-9244,0.16,0.28422105
mp-9382,0.21,0.24891458
mp-977352,0.32,0.16764198
mp-1017550,0.49,0.30449128
mp-1019359,0.3,0.1459489
mp-1025232,0.23,0.16915537
mp-1029550,0.35,0.4912256
mp-1104,0.25,-0.0027277619
mp-13829,0.35,0.26704496
mp-16266,0.19,0.304641
mp-1635,0.27,0.40653747
mp-20269,0.45,0.15883078
mp-20632,0.18,0.36836177
mp-22541,0.47,0.25129485
mp-23280,0.28,-0.25921336
mp-27175,0.29,0.2086155
mp-29196,0.29,0.3119253
mp-2979,0.26,0.58920544
mp-30004,0.31,0.5123336
mp-3813,0.28,0.29050583
mp-5186,0.33,0.18281482
mp-5400,0.38,0.14925571
mp-753176,0.35,0.026371852
mp-754434,0.36,0.45148474
mp-7889,0.33,0.27169347
mp-800,0.14,0.7077729
mp-8098,0.31,0.1094452
mp-862556,0.45,0.43072027
mp-867107,0.29,0.39261264
mp-8927,0.36,-0.03479451
mp-9487,0.33,0.16048716
mp-971757,0.49,0.40038234
mp-974625,0.27,0.4767003
mp-979009,0.32,0.7443209
mp-984721,0.29,0.10372235
mp-1025311,0.37,0.47676414
mp-19962,0.38,0.35615033
mp-20463,0.37,0.2087547
mp-22848,0.25,-0.6373904
mp-24237,0.23,0.58526725
mp-28593,0.12,0.21036981
mp-30019,0.27,0.022622183
mp-30839,0.39,0.3281098
mp-3970,0.32,0.45030856
mp-4865,0.28,0.2354155
mp-5025,0.22,0.18601535
mp-5515,0.17,0.2931702
mp-570557,0.31,-0.004351154
mp-631505,0.41,0.1267107
mp-634,0.14,0.1815178
mp-803,0.2,0.19267116
mp-8308,0.28,0.12876283
mp-862862,0.3,0.21473055
mp-865497,0.29,0.33908015
mp-871,0.23,0.24417536
mp-974883,0.32,0.025963515
mp-980941,0.27,0.49093127
mp-989568,0.42,0.3363765
mp-1009077,0.28,0.08313455
mp-1025116,0.38,0.092403725
mp-1029784,0.33,0.24186729
mp-10421,0.24,-0.0033628047
mp-10753,2.25,1.0624
mp-10909,0.27,0.5396443
mp-1179,0.29,0.37371427
mp-12764,0.34,0.8345706
mp-1502,0.36,0.6769258
mp-16263,0.19,0.37379175
mp-1699,0.27,0.58137256
mp-22660,0.37,0.31088114
mp-24658,0.24,-0.08007659
mp-2611,0.24,0.19176413
mp-2807,0.24,0.21256463
mp-2815,0.22,-0.1259856
mp-4,0.37,0.19362347
mp-540572,0.36,0.35853803
mp-5590,0.18,0.19716744
mp-567982,0.29,-0.10004486
mp-633538,0.25,0.33343065
mp-634659,0.59,0.13619982
mp-6916,0.21,0.094247416
mp-768870,0.25,0.11623101
mp-8013,0.38,0.2884525
mp-867227,0.41,0.43737006
mp-975651,0.25,0.22611232
mp-976281,0.25,0.42747283
mp-9983,0.27,0.2062351
mp-999503,0.4,0.03063713
mp-1007975,0.66,0.3772192
mp-10423,0.3,-0.012069628
mp-11021,0.32,0.12878452
mp-11250,0.33,0.03239055
mp-19817,0.18,0.2596507
mp-19990,0.44,-0.08424407
mp-20978,0.37,0.16276817
mp-22996,0.38,0.1378418
mp-23189,0.33,0.37502205
mp-23231,0.39,0.77117383
mp-30877,0.32,0.38933444
mp-31277,0.29,-1.4244713
mp-36480,0.31,0.5776353
mp-510219,0.28,0.13765042
mp-638,0.26,0.18745165
mp-675009,0.29,0.17962979
mp-770771,0.26,0.09921874
mp-864674,0.26,0.45532125
mp-865254,0.3,0.34104425
mp-865742,0.44,0.27987748
mp-866079,0.41,0.21302776
mp-9321,0.28,0.1886747
mp-976423,0.49,0.24132
mp-982666,0.3,0.6134777
mp-1007761,0.27,0.09961443
mp-1009792,0.39,0.49366814
mp-1017516,0.58,0.44005084
mp-1019054,0.26,0.0015278012
mp-1025213,0.38,0.29375857
mp-1025312,0.37,0.09322475
mp-11771,0.33,0.44352955
mp-12862,0.3,0.107285574
mp-1696,0.33,0.58101374
mp-1851,0.42,0.24196611
mp-20768,0.84,0.3810044
mp-20860,0.27,0.11141704
mp-2183,0.38,0.8042609
mp-2284,0.34,0.29692233
mp-23164,-0.02,-0.08995272
mp-24420,-11.06,-0.4217555
mp-27367,0.24,0.3666255
mp-28395,0.14,0.44999856
mp-28954,0.39,0.31529242
mp-29809,0.22,0.5916652
mp-30371,0.37,0.30078888
mp-375,0.32,0.26338005
mp-3795,0.33,0.36941475
mp-493,0.31,0.1456544
mp-568914,0.35,0.29811484
mp-569028,-0.76,0.3066976
mp-580236,0.21,0.13885416
mp-6098,0.3,0.20070173
mp-631371,0.31,0.52244455
mp-675626,0.34,0.44723415
mp-6986,0.23,0.16398118
mp-753156,0.3,-0.02802515
mp-788,0.3,0.37534648
mp-8537,0.24,0.24684678
mp-862759,0.24,0.36343533
mp-865808,0.34,0.56416196
mp-8789,0.2,-0.76912224
mp-8882,0.23,0.79062337
mp-962061,0.04,0.44798923
mp-982261,0.12,0.3294797
mp-996964,0.38,0.28941005
mp-9988,0.28,0.2721001
mp-999473,0.35,0.58988655
mp-1008786,0.25,-0.025326908
mp-1013549,0.21,-0.00011496246
mp-1259,0.15,0.44096023
mp-13277,0.2,0.2106695
mp-13453,0.39,0.31995744
mp-13914,0.24,0.2330042
mp-1542,0.15,0.7669091
mp-20255,0.28,0.25390923
mp-20987,0.23,0.8050309
mp-21109,0.32,-0.14703171
mp-21854,0.39,0.21051441
mp-2285,0.32,-1.0040395
mp-23068,0.18,0.11137341
mp-27393,0.23,0.25865036
mp-29502,0.2,0.25945926
mp-30717,0.54,0.15879528
mp-3390,0.24,0.2715056
mp-3808,0.29,0.44331557
mp-569270,0.17,0.4087324
mp-5976,0.23,0.09400742
mp-669382,0.51,0.3033846
mp-685935,-0.15,0.46872383
mp-704645,0.42,0.35006267
mp-755252,0.37,0.45324558
mp-862697,0.21,0.5391202
mp-862779,0.27,0.21407537
mp-864965,-2.92,0.29669684
mp-866170,0.87,0.5558212
mp-973269,0.44,0.08063577
mp-978546,0.25,0.2452731
mp-999069,0.37,0.15028106
mp-1017509,0.24,0.4721824
mp-1024957,0.27,0.08297585
mp-1027890,0.22,0.3675133
mp-1029506,0.31,0.5301578
mp-12055,0.28,0.5498183
mp-12779,0.33,0.31145245
mp-15556,0.17,0.43837488
mp-16529,0.28,-0.0100224465
mp-16645,0.37,0.10243575
mp-1883,0.22,0.19958194
mp-18924,0.28,0.379901
mp-19331,0.28,0.2452346
mp-19413,0.26,-0.05500284
mp-1959,0.32,0.6697918
mp-19774,0.29,0.2509153
mp-20001,0.32,0.097797796
mp-2168,0.28,0.2316408
mp-2361,0.31,0.27258927
mp-27255,0.21,0.09580545
mp-2853,0.23,1.0149297
mp-28793,0.28,0.15223281
mp-29138,-0.05,0.24212267
mp-30405,0.32,0.26939172
mp-31185,0.24,0.23361032
mp-31209,0.17,0.113679215
mp-3698,0.2,0.53145266
mp-5479,0.28,0.023423865
mp-568390,-4.13,-0.7021473
mp-622570,0.31,0.41900593
mp-631575,0.52,0.6108384
mp-631633,0.28,0.23503663
mp-7275,0.23,0.30450392
mp-861994,0.32,0.31458074
mp-862367,0.3,0.2721302
mp-863709,0.24,0.2126783
mp-865759,0.36,0.3787455
mp-865842,0.28,0.46566993
mp-971928,0.47,0.06413539
mp-972680,0.26,0.2676772
mp-981214,0.35,0.30252856
mp-989544,0.53,0.45076245
mp-989580,-0.14,0.4447276
mp-1009221,0.17,0.6401279
mp-10172,0.32,1.0737321
mp-1017446,0.29,0.25228095
mp-1025278,0.26,0.37140042
mp-1025325,0.19,-0.17914791
mp-16115,0.32,0.48300147
mp-20296,0.36,0.2578838
mp-21065,0.15,0.763477
mp-22302,0.25,-0.09699388
mp-2275,0.24,0.4020285
mp-23313,0.29,-0.23185147
mp-27897,0.31,0.2162828
mp-36209,0.31,0.40908837
mp-36779,0.11,0.47211844
mp-504886,0.32,0.24309431
mp-542854,0.23,0.29789847
mp-543024,0.31,0.3033738
mp-571059,0.35,0.3617366
mp-612740,0.25,0.46428585
mp-697044,0.3,0.39634115
mp-753298,0.22,0.34319645
mp-862629,0.24,0.32661217
mp-864938,0.34,0.40725952
mp-865015,0.44,0.32422704
mp-865994,0.33,0.3000543
mp-867259,0.35,0.4172693
mp-975997,0.48,0.5614831
mp-1018023,0.37,0.24900965
mp-1024999,0.22,0.25392956
mp-10274,0.32,0.15952136
mp-1029378,0.28,0.46684515
mp-10718,0.38,-0.15645708
mp-11400,0.33,0.27457535
mp-13572,0.32,0.3365392
mp-1476,0.28,0.24780361
mp-19391,0.31,-0.019733354
mp-19713,0.24,0.50239414
mp-20268,0.3,0.20048247
mp-22087,0.29,0.19604035
mp-24416,0.67,0.1957377
mp-2675,0.29,0.22014846
mp-28174,0.22,0.07167362
mp-28978,0.32,-0.011992022
mp-30057,0.36,0.04099147
mp-4471,0.26,0.14935188
mp-552588,0.24,0.10555117
mp-570256,0.32,0.3190276
mp-573697,0.28,1.4631884
mp-680932,0.3,0.22263514
mp-690785,0.23,0.35043597
mp-762225,0.32,-0.12972905
mp-7790,0.26,0.45060366
mp-862733,0.31,0.32940227
mp-9761,0.26,0.28121537
mp-977062,0.3,1.1407565
mp-980665,0.7,0.30729735
mp-997041,0.31,0.24278103
mp-998903,0.37,1.5390878
mp-1018672,0.25,-0.09394428
mp-10198,0.3,0.39666772
mp-1022116,0.31,0.3721003
mp-1025168,0.43,0.76340944
mp-11191,0.17,0.32917762
mp-13496,0.49,0.89792556
mp-1834,0.39,0.24925907
mp-19761,0.36,0.18121083
mp-20122,0.16,0.3322466
mp-20304,0.27,0.23627035
mp-22095,0.41,0.26400024
mp-22510,0.27,0.23050837
mp-2746,0.31,0.25589722
mp-27954,0.29,0.6556532
mp-30867,0.34,0.50050235
mp-4158,0.31,0.433762
mp-542909,0.36,0.2554162
mp-8137,0.32,0.14383243
mp-864735,0.3,0.45438486
mp-865044,0.3,0.32047957
mp-866820,-6.28,-0.11091998
mp-9636,0.34,0.26368195
mp-971744,0.35,0.29459745
mp-971958,0.35,0.09463911
mp-974866,0.41,-0.030415729
mp-975578,0.42,0.24025656
mp-983427,0.43,0.31102103
mp-984049,0.16,0.3062722
mp-996,0.34,0.3467496
mp-1001824,-102.89,-32.837734
mp-1008873,0.33,0.058890387
mp-1009848,0.41,0.097704396
mp-10470,0.28,0.13052897
mp-10810,0.14,0.43339282
mp-1100,0.44,-1.4800683
mp-11533,0.31,0.25278497
mp-13007,0.21,0.5974716
mp-13811,0.28,0.18891458
mp-19210,0.35,0.120944664
mp-23295,0.28,0.35900557
mp-30494,0.31,0.3775245
mp-3050,0.25,0.40388364
mp-35591,0.22,0.050385967
mp-3718,0.33,0.13492464
mp-38970,0.22,0.1582485
mp-3917,0.35,0.20021431
mp-5549,0.34,0.27217907
mp-566278,0.32,-0.06381379
mp-567366,0.65,0.3833043
mp-569196,0.33,0.13797002
mp-582360,0.33,0.3256569
mp-631518,0.53,0.29703432
mp-725,0.32,0.2818777
mp-755342,0.29,0.116224095
mp-8279,0.24,0.35261393
mp-862335,0.31,0.41612685
mp-862690,0.25,0.30249774
mp-8633,0.69,0.4216181
mp-863705,0.29,0.107243076
mp-8676,0.33,0.261631
mp-9385,0.12,0.38443685
mp-975382,0.84,0.04666154
mp-976133,0.04,-0.028266907
mp-977385,0.55,0.17427789
mp-985584,0.39,0.28431875
mp-1004526,0.31,0.011612251
mp-1019361,0.3,0.06508879
mp-1025077,0.32,0.22690634
mp-15236,0.25,0.19665001
mp-1840,0.32,0.23890136
mp-1968,0.35,0.45854926
mp-19835,0.25,0.066793695
mp-23279,0.46,0.0561343
mp-23736,0.18,0.295332
mp-30339,0.33,1.0485624
mp-30449,0.31,0.58498496
mp-3340,0.29,0.29411983
mp-542757,0.31,0.19119294
mp-5589,0.25,0.39169836
mp-615314,0.28,0.23521446
mp-753712,0.26,0.24913846
mp-7623,0.26,0.17042701
mp-769218,0.24,-0.00029993057
mp-863736,0.33,0.35330135
mp-865507,0.3,0.28087074
mp-865519,0.34,0.4541543
mp-867160,0.41,0.35946745
mp-867801,0.62,0.27579165
mp-9567,0.23,0.20401667
mp-972071,0.4,0.18357106
mp-972420,0.31,0.4105286
mp-972529,2.6,0.34544677
mp-975272,0.3,0.06324004
mp-977362,0.32,0.3574469
mp-978100,0.37,0.42384845
mp-978911,0.33,0.3707493
mp-9808,0.3,0.24130328
mp-984785,0.25,0.25859225
mp-997009,0.34,0.241563
mp-10010,0.27,0.19966058
mp-1009488,0.36,-0.1880075
mp-1009820,0.22,-0.0018069595
mp-1017554,0.33,0.32878727
mp-1018694,0.22,0.27479333
mp-1023366,0.2,0.41982877
mp-1025067,0.24,0.22071193
mp-1025379,0.2,0.22592871
mp-1025415,0.35,0.23062427
mp-1039293,-0.33,0.15237443
mp-10965,0.28,0.25160807
mp-12725,0.32,0.1583262
mp-153,0.29,-13.0323
mp-16043,0.36,0.6851532
mp-1655,0.42,0.54232484
mp-1823,0.27,0.75078565
mp-18779,0.29,0.28562802
mp-1898,0.28,0.08124106
mp-1975,0.2,0.025237024
mp-20711,0.38,0.104051456
mp-20800,0.27,0.5354186
mp-22396,0.28,0.12214334
mp-27321,0.3,0.13819848
mp-28567,0.33,0.073306665
mp-31086,0.27,0.32756388
mp-3486,0.35,0.19510554
mp-36,0.32,0.7919864
mp-4073,0.32,0.21253468
mp-505216,0.29,0.043464944
mp-562102,0.29,0.027641878
mp-568671,0.24,0.15373419
