id,target,prediction,abs_error
mp-36111,0.19,1.1320349,0.9420349000000001
mp-56,0.29,-0.65186006,0.94186006
mp-24504,0.29,1.210437,0.920437
mp-99,0.23,1.1401032,0.9101032
mp-1025346,0.32,-0.5731656,0.8931656000000001
mp-24726,0.43,-0.4438777,0.8738777
mp-1001913,0.81,-0.053508386,0.863508386
mp-30312,0.32,-0.53710157,0.85710157
mp-32548,0.35,-0.5059181,0.8559181
mp-1895,0.36,-0.49086303,0.85086303
mp-2735,0.49,-0.36058366,0.85058366
mp-84,0.3,-0.5384858,0.8384858
mp-569779,0.3,1.1332883,0.8332883
mp-252,0.21,1.0408374,0.8308374000000001
mp-20034,0.21,1.0040071,0.7940071
mp-3205,0.37,-0.40627706,0.77627706
mp-961651,0.26,1.0351615,0.7751615000000001
mp-865450,0.26,-0.5111112,0.7711112
mp-10044,0.13,0.8906631,0.7606631
mp-27396,0.24,0.9862891,0.7462891
mp-1014229,0.29,1.0282965,0.7382964999999999
mp-696114,0.33,1.0633676,0.7333676
mp-933,0.22,0.9432464,0.7232464000000001
mp-7830,0.71,-0.010451078,0.720451078
mp-1008488,0.38,-0.3391199,0.7191198999999999
mp-505780,0.26,-0.4551177,0.7151177
mp-8352,0.32,-0.39042145,0.71042145
mp-997630,0.53,-0.17895593,0.70895593
mp-1235,0.34,1.0463383,0.7063382999999999
mp-10861,0.4,1.1059711,0.7059711000000001
mp-6938,0.32,1.024209,0.7042089999999999
mp-18905,0.37,-0.32460305,0.69460305
mp-12605,0.28,0.95803016,0.6780301599999999
mp-982637,0.28,0.9560911,0.6760911
mp-850274,0.48,-0.19212456,0.67212456
mp-30507,0.23,0.9004316,0.6704316
mp-961698,0.28,0.94933814,0.66933814
mp-4559,0.29,0.9520393,0.6620393
mp-972839,0.64,-0.017528862,0.657528862
mp-18316,0.32,-0.33510947,0.65510947
mp-29208,0.24,-0.41062358,0.65062358
mp-1961,0.33,0.9707996,0.6407996
mp-571322,0.81,0.1696028,0.6403972
mp-9888,0.23,-0.4089769,0.6389769
mp-636328,0.29,0.9241099,0.6341099000000001
mp-1002181,0.62,-0.011016905,0.631016905
mp-22692,-0.0,0.62968796,0.62968796
mp-15649,0.24,-0.38899645,0.62899645
mp-2406,0.33,-0.29860044,0.62860044
mp-2794,0.33,-0.29831538,0.6283153800000001
mp-639755,0.72,0.09535353,0.62464647
mp-569304,0.19,-0.43401498,0.62401498
mp-999027,0.37,0.985184,0.615184
mp-976765,0.37,0.97805077,0.60805077
mp-22558,0.36,-0.24017256,0.60017256
mp-1158,0.33,0.9297971,0.5997971
mp-982665,0.66,0.062736556,0.597263444
mp-6504,0.31,-0.28563136,0.59563136
mp-974332,0.33,-0.26332247,0.5933224699999999
mp-762271,0.54,-0.052015707,0.5920157070000001
mp-22979,0.27,-0.32093006,0.59093006
mp-1001833,0.31,-0.2775066,0.5875066
mp-24155,0.7,0.1149662,0.5850337999999999
mp-995191,0.44,-0.14193763,0.58193763
mp-30139,-0.16,0.42112,0.58112
mp-1786,0.28,0.85988384,0.5798838399999999
mp-1009594,0.3,0.8766245,0.5766245000000001
mp-1025571,0.46,-0.11657281,0.57657281
mp-4051,-0.28,0.2950431,0.5750431
mp-2291,0.4,0.9738551,0.5738551
mp-1018115,-0.08,0.48741663,0.56741663
mp-1009834,0.19,0.7572358,0.5672358
mp-973111,0.54,-0.026100159,0.566100159
mp-9799,0.21,0.7753772,0.5653772
mp-20438,0.28,0.8438496,0.5638496
mp-696752,0.24,0.8023674,0.5623674
mp-1025236,0.25,0.80498224,0.55498224
mp-1778,0.14,0.6941048,0.5541048
mp-13475,0.27,-0.28132087,0.5513208700000001
mp-22204,0.35,-0.20122533,0.55122533
mp-27606,0.24,-0.3106993,0.5506993
mp-571599,0.35,-0.19939332,0.54939332
mp-981,0.29,-0.25937915,0.54937915
mp-756784,0.28,-0.2691158,0.5491158
mp-961718,0.51,-0.03830041,0.54830041
mp-1018028,0.21,0.75598806,0.54598806
mp-2553,0.18,0.725105,0.545105
mp-1009079,0.34,-0.20446469,0.5444646900000001
mp-313,0.34,0.88415116,0.54415116
mp-22966,0.31,-0.23338218,0.54338218
mp-1215,0.26,0.79891294,0.53891294
mp-8963,0.23,0.7686947,0.5386947
mp-866286,0.25,0.7821114,0.5321114
mp-961727,0.56,0.034143552,0.5258564480000001
mp-972827,0.3,-0.22456895,0.5245689499999999
mp-1039383,0.35,0.8744332,0.5244332
mp-755875,0.29,0.8141077,0.5241077000000001
mp-4142,0.42,0.9436564,0.5236563999999999
mp-1459,0.21,0.7298709,0.5198709
mp-910,0.23,-0.28948295,0.51948295
mp-1009048,-0.17,0.3444726,0.5144726000000001
mp-18,0.25,0.76395607,0.51395607
mp-999059,0.55,0.038066134,0.511933866
mp-570632,0.28,-0.23169275,0.51169275
mp-7947,0.4,-0.11147007,0.51147007
mp-30160,0.49,-0.018635705,0.508635705
mp-560236,0.39,-0.115711436,0.505711436
mp-29259,0.35,-0.15392573,0.50392573
mp-20284,0.68,0.17705537,0.50294463
mp-2108,0.22,0.72145957,0.5014595700000001
mp-190,0.28,0.7791419,0.4991419
mp-11576,0.25,0.7467081,0.4967081
mp-636212,0.48,-0.014504865,0.49450486499999996
mp-7631,0.16,-0.33252844,0.49252843999999996
mp-1039198,0.41,0.90242213,0.49242213000000007
mp-1011695,0.32,-0.16760059,0.48760059
mp-1018135,0.2,-0.28670132,0.48670132
mp-10615,0.23,0.7154791,0.48547910000000005
mp-11482,0.27,-0.21309377,0.48309377
mp-10687,0.29,0.7714807,0.48148070000000004
mp-777595,0.35,-0.13118452,0.48118452
mp-973175,0.35,-0.13115396,0.48115396
mp-19051,0.52,0.039216027,0.48078397300000003
mp-567653,0.39,0.8687574,0.4787574
mp-971706,0.33,-0.14532617,0.47532617
mp-20424,0.26,-0.21054089,0.47054089
mp-7440,0.3,-0.16972552,0.46972552
mp-1008876,0.44,-0.029502973,0.469502973
mp-2554,0.17,0.6392016,0.4692016
mp-989193,0.54,0.07128577,0.46871423
mp-752685,0.32,-0.14799024,0.46799024
mp-12661,0.74,0.27224022,0.46775978
mp-867753,0.76,0.29284447,0.46715553
mp-697068,0.37,-0.09653689,0.46653689
mp-2339,0.34,0.80582064,0.46582063999999995
mp-570538,0.3,-0.16403972,0.46403972
mp-29646,0.23,0.69360805,0.46360805000000005
mp-864984,0.38,-0.08335905,0.46335905
mp-8752,0.18,-0.2812271,0.4612271
mp-915,0.31,0.7699643,0.45996430000000005
mp-569775,0.24,0.6973587,0.4573587
mp-9889,0.23,-0.22587287,0.45587287
mp-2,0.38,0.8343769,0.4543769
mp-1020059,0.22,0.6718998,0.4518998000000001
mp-12083,0.22,0.67094237,0.45094237000000004
mp-978846,0.38,-0.07090126,0.45090125999999997
mp-28599,0.23,0.67716813,0.44716813
mp-23301,0.55,0.10554288,0.44445712000000004
mp-6058,-0.05,0.393205,0.443205
mp-974990,0.48,0.037520394,0.44247960599999997
mp-8936,-0.06,0.3823303,0.4423303
mp-759541,0.36,-0.08111946,0.44111946
mp-13099,0.35,0.79096967,0.44096967
mp-1535,0.68,0.23991899,0.44008101000000005
mp-9942,0.15,0.58648545,0.43648544999999994
mp-985588,0.59,0.15448143,0.43551856999999994
mvc-3245,-0.1,0.334947,0.434947
mp-559051,0.31,-0.12323713,0.43323712999999997
mp-752735,0.46,0.029033527,0.430966473
mp-504711,0.44,0.009351119,0.430648881
mp-22320,0.31,-0.11921473,0.42921473
mp-1260,0.31,0.7367638,0.42676379999999997
mp-20526,0.21,0.6349069,0.4249069000000001
mp-7857,0.15,0.5746896,0.4246896
mp-865355,0.41,-0.013621196,0.423621196
mp-19870,0.36,-0.063092455,0.423092455
mp-105,0.32,-0.102094084,0.42209408400000004
mp-571096,0.2,0.6209467,0.42094669999999995
mp-1002229,0.74,1.1579123,0.4179123
mp-23304,0.33,-0.0872076,0.4172076
mp-865586,0.3,-0.11683789,0.41683789
mp-961668,0.42,0.003807798,0.416192202
mp-1007760,0.19,0.60539937,0.41539937
mp-753619,0.25,-0.16497818,0.41497818
mp-999052,-0.19,0.22339104,0.41339104000000004
mp-865856,0.33,-0.08269419,0.41269419
mp-17524,0.19,0.6019513,0.41195129999999996
mp-527,0.27,-0.14161482,0.41161482000000005
mp-13132,0.64,0.22858055,0.41141945
mp-827,0.26,0.6709334,0.4109334
mp-553939,0.32,-0.09088813,0.41088813
mp-13590,0.39,-0.020137057,0.410137057
mp-1007881,0.24,-0.16966584,0.40966584
mp-961680,0.48,0.070825204,0.40917479599999995
mp-568233,0.28,-0.12876649,0.40876649000000004
mp-972892,0.54,0.13139455,0.40860545000000004
mp-9907,0.23,-0.1782946,0.4082946
mp-11421,0.61,0.20617367,0.40382633
mp-22908,0.14,-0.26319596,0.40319596
mp-10018,0.26,0.6619138,0.4019138
mp-23197,0.52,0.118166015,0.401833985
mp-1008911,0.19,-0.21162291,0.40162291
mp-10890,0.22,0.6213356,0.4013356
mp-556546,0.28,0.6787292,0.3987292
mp-11237,0.33,0.72863317,0.39863317000000004
mp-3315,0.35,-0.048610672,0.398610672
mp-27148,0.18,0.5782512,0.39825119999999997
mp-13,0.32,-0.07760577,0.39760577
mp-1014246,0.29,-0.10728367,0.39728367
mp-758933,0.16,0.55704874,0.39704874
mp-21022,0.19,0.5849708,0.3949708
mp-975322,0.46,0.06568678,0.39431322
mp-23797,0.26,0.6523585,0.39235849999999994
mp-505527,0.23,0.6222516,0.39225160000000003
mp-33723,0.24,-0.15187094,0.39187094
mp-741,0.32,-0.07051252,0.39051252000000003
mp-1996,0.31,0.69902354,0.38902354
mp-977403,-0.23,0.15894301,0.38894301
mvc-15643,-0.03,0.35859996,0.38859995999999997
mp-18721,0.31,0.6985836,0.3885836
mp-11345,0.25,0.6376338,0.38763380000000003
mp-4732,0.22,-0.16587105,0.38587105
mp-28591,0.18,-0.20564817,0.38564816999999996
mp-1008634,0.42,0.035139814,0.384860186
mp-861662,0.35,0.7338419,0.38384190000000007
mp-10635,0.3,-0.083363116,0.383363116
mp-9198,0.19,0.57282645,0.38282645
mp-558050,0.05,0.43253255,0.38253255
mp-865779,0.3,-0.08099119,0.38099119
mp-9948,0.25,0.62982386,0.37982386
mp-1018629,0.45,0.0710101,0.3789899
mp-31256,0.13,0.50882316,0.37882316000000005
mp-3271,0.23,0.6065767,0.3765767
mp-13008,0.22,0.5955989,0.37559890000000007
mp-754126,0.43,0.05468832,0.37531168
mp-1006886,-0.1,0.2746423,0.3746423
mp-1001581,0.19,0.56410724,0.37410724
mp-23560,0.18,0.5511676,0.3711676
mp-997161,0.36,-0.011120483,0.371120483
mp-1008874,0.25,-0.120938614,0.370938614
mp-10266,0.29,-0.07993995,0.36993994999999996
mp-10056,-0.13,0.23901092,0.36901092
mp-762506,0.29,0.6570016,0.3670016
mp-762,0.23,-0.13648085,0.36648084999999997
mp-570276,0.31,0.6761431,0.3661431
mp-161,0.16,0.52444685,0.36444685
mp-1907,0.21,0.57378954,0.3637895400000001
mp-1746,0.27,-0.09337735,0.36337735000000004
mp-1018814,0.32,-0.042166844,0.362166844
mp-569600,0.25,0.6121219,0.3621219
mp-8842,0.28,-0.08091639,0.36091639000000003
mp-30753,0.34,0.70083773,0.36083773
mp-14983,0.21,0.5706263,0.36062630000000007
mp-1591,0.21,-0.15040876,0.36040876
mp-29009,0.26,0.6203148,0.36031480000000005
mp-7498,0.27,0.6296688,0.3596688
mp-8177,0.42,0.061443314,0.358556686
mp-961774,0.3,-0.05823292,0.35823292
mp-966800,0.27,0.6281549,0.35815489999999994
mp-7191,0.24,0.59780866,0.35780866
mp-10161,0.23,0.58671594,0.35671594000000006
mp-542595,0.19,0.54646,0.35645999999999994
mp-5459,0.3,-0.056430206,0.35643020599999997
mp-972,0.19,0.54599243,0.35599242999999997
mp-265,0.23,0.5856262,0.3556262
mp-864657,0.25,0.6050541,0.35505410000000004
mp-3963,0.32,0.6743979,0.3543979
mp-22619,0.22,0.5726923,0.35269230000000007
mp-617,0.23,0.5820615,0.3520615
mp-5618,0.3,-0.05147326,0.35147326
mp-977435,0.29,0.6403759,0.3503759
mp-32,0.19,0.54035425,0.35035425000000003
mp-642822,0.47,0.81965643,0.34965643
mp-2845,0.39,0.04065658,0.34934342
mp-614013,0.28,-0.06832802,0.34832802
mp-27263,0.35,0.69684994,0.34684994
mp-4494,0.32,-0.026470616,0.346470616
mp-568619,0.16,-0.1841806,0.3441806
mp-866180,0.17,0.512918,0.34291799999999995
mp-866291,0.44,0.7826834,0.3426834
mp-567832,0.25,0.59217197,0.34217197
mp-1811,0.39,0.04951082,0.34048918
mp-22027,0.38,0.040116712,0.339883288
mp-541937,0.28,-0.059683904,0.33968390400000004
mp-2012,0.28,-0.059369862,0.339369862
mp-29826,0.35,0.011053413,0.33894658699999997
mp-973067,0.43,0.091689214,0.338310786
mp-1233,0.3,-0.035695538,0.33569553799999996
mp-2507,0.24,-0.09532626,0.33532626
mp-30148,0.08,-0.252992,0.332992
mp-7459,0.25,-0.08298989,0.33298989
mp-1017466,0.35,0.017113417,0.33288658299999996
mp-1747,0.35,0.017533079,0.33246692099999997
mp-27934,0.34,0.007820308,0.332179692
mp-974641,0.46,0.12816553,0.33183447
mp-570001,0.28,-0.05133982,0.33133982
mp-9973,0.17,-0.16113335,0.33113335
mp-30587,0.39,0.059664056,0.330335944
mp-22922,0.42,0.7497786,0.3297786
mp-30836,0.32,0.64973074,0.32973073999999997
mp-761842,0.31,-0.019321293,0.329321293
mp-2547,0.37,0.6991368,0.3291368
mp-29666,0.21,-0.118484065,0.328484065
mp-1023132,0.26,0.5880665,0.32806650000000004
mp-961677,0.56,0.23195027,0.32804973000000004
mp-22262,0.3,-0.027976334,0.327976334
mp-22871,0.28,-0.047265396,0.32726539600000004
mp-978272,0.29,0.6165747,0.32657470000000005
mp-962074,0.56,0.23367836,0.3263216400000001
mp-864953,0.31,-0.01601334,0.32601334
mp-27425,0.27,0.595055,0.325055
mp-1956,0.22,-0.10441637,0.32441637
mp-568469,0.29,0.6138294,0.3238294
mp-977176,0.36,0.03647749,0.32352251
mp-241,0.37,0.04663743,0.32336257
mp-15951,0.05,0.37280434,0.32280434
mp-2874,0.32,-0.002011001,0.322011001
mp-1820,0.21,-0.11127111,0.32127110999999997
mp-20158,0.44,0.12151687,0.31848313
mp-10173,0.31,0.6284036,0.31840359999999995
mp-14226,0.47,0.15213625,0.31786375
mp-7597,0.25,-0.06781213,0.31781212999999997
mp-10009,0.26,-0.05675982,0.31675982
mp-1176,0.36,0.67648214,0.31648213999999997
mp-998,0.32,0.0037140697,0.3162859303
mp-542812,0.22,-0.09606169,0.31606169
mp-1025364,0.24,0.55603284,0.31603284
mp-22897,0.31,0.6253413,0.3153413
mp-20426,0.36,0.044671997,0.31532800299999997
mp-1879,0.21,0.52506065,0.31506065000000005
mp-13137,0.22,0.53475976,0.31475976000000006
mp-1022725,0.26,-0.054331303,0.314331303
mp-12752,0.21,0.52329874,0.31329874
mp-29641,0.22,-0.09228419,0.31228419
mp-2474,0.31,0.62193793,0.31193793
mp-9459,0.28,-0.03173469,0.31173469000000004
mp-760417,0.15,0.46159285,0.31159285000000003
mp-79,0.27,-0.041018605,0.311018605
mp-15985,0.27,0.5807315,0.31073149999999994
mp-864732,0.14,0.45001364,0.31001364
mp-1700,0.24,0.5494105,0.30941050000000003
mp-37,0.2,-0.10931337,0.30931337000000003
mp-8062,0.16,-0.14856292,0.30856291999999996
mp-1039,0.34,0.03258045,0.30741955000000004
mp-570113,0.4,0.09290074,0.30709926000000004
mp-30354,0.32,0.013061732,0.306938268
mp-553961,0.34,0.033108726,0.30689127400000005
mp-973767,0.42,0.11331634,0.30668365999999997
mp-4478,0.39,0.08378695,0.30621305
mp-989554,0.33,0.6360427,0.30604269999999995
mp-761568,0.41,0.10403426,0.30596574
mp-568516,0.24,-0.06507073,0.30507072999999996
mp-15679,0.3,-0.0046352297,0.3046352297
mp-11300,0.33,0.6344997,0.3044997
mp-1009814,-0.11,0.19387873,0.30387873
mp-570568,0.36,0.05626844,0.30373156
mp-2572,0.24,0.5435688,0.30356879999999997
mp-976283,0.51,0.20671447,0.30328553
mp-36248,-0.15,0.15244333,0.30244333
mp-1016833,0.34,0.037750438,0.302249562
mp-11147,0.34,0.037846163,0.30215383700000004
mp-864920,0.37,0.67110586,0.30110586000000006
mp-19893,0.33,0.6306507,0.3006507
mp-1124,0.31,0.009573236,0.300426764
mp-22221,0.41,0.110341266,0.299658734
mp-1412,0.4,0.6993869,0.2993869
mp-472,0.46,0.16071145,0.29928855
mp-12961,0.39,0.68924946,0.29924945999999997
mp-867202,0.54,0.24108808,0.29891192
mp-22895,0.32,0.6187395,0.2987395
mp-1473,0.29,-0.007587865,0.297587865
mp-2452,0.27,0.5674616,0.2974616
mp-998982,0.33,0.6270867,0.2970867
mp-31301,0.36,0.06313561,0.29686439
mp-1008632,0.32,0.6165845,0.2965845
mp-999516,0.23,0.5261702,0.29617020000000005
mp-4065,0.25,-0.045952693,0.295952693
mp-865893,0.38,0.08483623,0.29516377
mp-865536,0.36,0.65363246,0.29363246
mp-9570,0.25,0.5425926,0.2925926
mp-983594,0.71,0.41821188,0.29178812
mp-504600,0.32,0.6115221,0.29152209999999995
mp-2085,0.42,0.12902291,0.29097709
mp-224,0.2,-0.09096417,0.29096417
mp-1332,0.29,-0.0002860874,0.2902860874
mp-757,0.16,0.45009524,0.29009524
mp-558781,0.32,0.030019611,0.289980389
mp-1016827,0.25,-0.039356515,0.289356515
mp-982885,0.29,0.00073981285,0.28926018714999996
mp-864957,0.3,0.010841772,0.289158228
mp-570454,0.55,0.26095194,0.28904806000000005
mp-5370,0.33,0.041646406,0.28835359400000005
mp-22769,0.3,0.5880539,0.28805390000000003
mp-644229,0.16,0.4479869,0.28798690000000005
mp-31205,0.34,0.052435055,0.287564945
mp-2234,0.3,0.013529763,0.28647023699999996
mp-30245,0.23,0.5162499,0.28624990000000006
mp-867342,0.1,0.3861941,0.2861941
mp-1135,0.32,0.60607153,0.28607153
mp-5504,0.31,0.024140641,0.285859359
mp-714969,0.26,-0.025522113,0.285522113
mp-19260,0.33,0.045188054,0.28481194600000004
mp-30483,0.32,0.03591393,0.28408607
mp-754086,0.32,0.035926804,0.28407319600000003
mp-861943,0.36,0.6435663,0.28356630000000005
mp-555321,0.3,0.01704435,0.28295565
mp-1022488,0.5,0.21752171,0.28247829
mp-620054,0.19,0.47213125,0.28213125
mp-1105,0.28,-0.0017401725,0.28174017250000005
mp-1652,0.33,0.6117187,0.28171869999999993
mp-30206,0.34,0.0597672,0.2802328
mp-23846,0.29,0.56997436,0.27997436000000003
mp-973316,0.46,0.18139367,0.27860633
mp-22975,0.13,0.4082653,0.2782653
mp-5724,0.07,0.34824312,0.27824312
mp-9920,0.25,-0.027874723,0.277874723
mp-318,0.43,0.15251108,0.27748892000000003
mp-1007637,0.2,-0.07720061,0.27720061
mp-20740,0.28,0.55700547,0.27700547
mp-979436,0.6,0.32308668,0.27691331999999996
mp-505331,0.38,0.10337238,0.27662762
mp-27839,0.31,0.5864974,0.27649739999999995
mp-29135,0.27,0.5464607,0.2764607
mp-865997,0.25,0.52604884,0.27604883999999996
mp-570985,0.16,-0.11594346,0.27594346000000003
mp-2327,0.34,0.064113244,0.275886756
mp-110,0.47,0.19428234,0.27571766
mp-865780,0.29,0.0144364685,0.27556353149999996
mp-10688,0.23,0.5047947,0.27479470000000006
mp-5532,0.25,0.52473575,0.27473574999999995
mp-862791,-0.13,0.14422674,0.27422674
mp-2825,0.35,0.6234941,0.2734941000000001
mp-12778,0.32,0.5933116,0.27331160000000004
mp-9947,0.16,-0.11309396,0.27309395999999997
mp-7482,0.37,0.096906915,0.273093085
mp-13031,0.34,0.61270744,0.27270743999999997
mp-984554,0.55,0.27756822,0.27243178000000007
mp-974435,0.27,-0.0022495836,0.2722495836
mp-864936,0.3,0.028201178,0.271798822
mp-8601,0.31,0.03851916,0.27148084
mp-558733,0.21,-0.061349243,0.27134924299999996
mp-639727,0.36,0.088731155,0.271268845
mp-972828,0.34,0.0690126,0.27098740000000004
mp-1025045,0.33,0.6006904,0.27069039999999994
mp-555370,0.2,0.4703114,0.2703114
mp-22258,0.27,0.00077418983,0.26922581017
mp-640095,0.34,0.07084559,0.26915441
mp-1341,0.35,0.08088334,0.26911666
mp-867147,0.47,0.2010056,0.26899439999999997
mp-24151,0.25,-0.018161193,0.268161193
mvc-14047,0.18,0.44774657,0.26774657
mp-16528,0.24,-0.027593061,0.26759306099999997
mp-1001571,0.23,-0.03744267,0.26744267
mp-558411,0.23,-0.036977395,0.266977395
mp-24289,0.4,0.13345961,0.26654039
mp-1013712,0.28,0.013515875,0.266484125
mp-21447,0.29,0.023769125,0.266230875
mp-999543,0.01,0.27587742,0.26587742
mp-978853,0.25,-0.015626773,0.265626773
mp-19359,0.24,-0.02520287,0.26520287
mp-981934,0.46,0.19483145,0.26516855000000006
mp-1025293,0.32,0.5845381,0.26453809999999994
mp-775001,-0.06,0.2041112,0.2641112
mp-3323,0.26,-0.003821522,0.26382152200000003
mp-23350,0.26,0.5233213,0.2633213
mp-990076,0.24,-0.023311988,0.263311988
mp-7143,0.29,0.026766807,0.263233193
mp-961656,0.27,0.0070898086,0.2629101914
mp-977534,0.33,0.06730141,0.26269859
mp-10189,0.23,0.4924757,0.2624757
mp-560588,0.29,0.027567029,0.26243297099999996
mp-23526,0.31,0.047732875,0.262267125
mp-571203,0.3,0.037921116,0.262078884
mp-865378,-0.02,0.2413141,0.2613141
mp-865529,0.47,0.20887189,0.26112810999999997
mp-973561,0.46,0.19894765,0.26105235000000004
mp-1008530,0.33,0.06895088,0.26104912
mp-10455,0.24,0.5009405,0.2609405
mp-754892,0.5,0.23929088,0.26070912
mp-30834,0.36,0.09951012,0.26048988
mp-30418,0.42,0.15952872,0.26047127999999997
mp-867347,0.25,0.51037997,0.26037997
mp-558798,0.26,0.520248,0.26024800000000003
mp-7262,0.26,0.000108644366,0.259891355634
mp-1201,0.21,-0.04971145,0.25971145
mp-2776,0.42,0.16077219,0.25922780999999995
mp-644504,0.35,0.09086971,0.25913029
mp-867121,0.32,0.5788444,0.25884440000000003
mp-22498,0.28,0.02200599,0.25799401000000005
mp-972960,0.43,0.17237617,0.25762383
mp-4510,0.15,0.40680712,0.25680712000000006
mp-22052,0.31,0.053230748,0.256769252
mp-972036,0.39,0.13334663,0.25665337
mp-31496,0.31,0.053790495,0.256209505
mp-974511,0.46,0.20408745,0.25591255
mp-11029,0.25,-0.005845979,0.255845979
mp-1008931,0.5,0.24415825,0.25584175
mp-1125,0.17,-0.085648,0.255648
mp-28232,0.31,0.054630592,0.255369408
mp-865986,0.2,0.45517433,0.25517433
mp-865756,0.52,0.26504087,0.25495913000000003
mp-35208,0.3,0.045292422,0.254707578
mp-1014261,0.32,0.066088304,0.253911696
mp-865951,0.44,0.18626775,0.25373225
mp-570826,0.58,0.32651496,0.25348503999999994
mp-861933,0.56,0.30682755,0.25317245000000005
mp-863734,0.52,0.26700842,0.25299158
mp-1029474,0.22,0.47281456,0.25281456
mp-15051,0.35,0.09749772,0.25250227999999997
mp-20563,0.28,0.027743861,0.25225613900000005
mp-865964,0.07,0.3222167,0.2522167
mp-21449,0.29,0.037939742,0.252060258
mp-7632,0.33,0.07870905,0.25129095
mp-14815,0.26,0.008840218,0.251159782
mp-2151,0.29,0.03885661,0.25114338999999997
mp-18854,0.19,0.44079906,0.25079906
mp-972845,0.28,0.5307147,0.25071469999999996
mp-1038975,0.53,0.27943963,0.25056037000000003
mp-4779,0.12,0.37007576,0.25007576
mp-31136,0.25,-4.5478344e-05,0.250045478344
mp-2391,0.35,0.59958124,0.24958124000000004
mp-22390,0.31,0.061013028,0.248986972
mp-568598,0.29,0.538171,0.24817099999999997
mp-978507,0.26,0.5081666,0.24816660000000001
mp-761524,0.3,0.052281544,0.24771845599999998
mp-1285,0.31,0.06228347,0.24771653
mp-862589,0.24,0.48767704,0.24767704000000001
mp-8468,0.39,0.14253052,0.24746948000000002
mp-30789,0.41,0.65736026,0.24736026000000005
mp-756187,0.27,0.02275984,0.24724016000000001
mp-569128,0.18,0.42637765,0.24637765
mp-604321,0.34,0.58636373,0.24636372999999995
mp-32311,0.15,0.396074,0.246074
mp-567597,0.36,0.113968685,0.24603131499999997
mp-976229,0.34,0.09431349,0.24568651000000002
mp-1018032,0.3,0.0547425,0.2452575
mp-626620,0.29,0.5351838,0.2451838
mp-22304,0.26,0.50495636,0.24495635999999998
mp-862604,0.27,0.51453865,0.24453864999999997
mp-715262,0.34,0.0955296,0.24447040000000003
mp-768,0.19,0.43435448,0.24435447999999999
mp-1371,0.33,0.08570488,0.24429512000000003
mp-8630,0.25,0.005954519,0.244045481
mp-86,0.24,-0.0038236529,0.2438236529
mp-1029531,0.29,0.53377455,0.24377454999999998
mp-976982,0.42,0.1762255,0.24377449999999998
mp-15642,0.19,0.43359715,0.24359714999999998
mp-12701,0.27,0.026740327,0.243259673
mp-20102,0.34,0.09743537,0.24256463000000003
mp-9835,0.23,-0.012138665,0.242138665
mp-1025338,0.33,0.5721049,0.2421049
mp-973141,0.35,0.10801707,0.24198292999999998
