group,id,target,prediction,abs_error,formula,elements,n_atoms,spacegroup
WORST,mp-30835,0.34,2.3688443,2.0288443000000003,TaPd2,"Pd,Ta",3,Immm
WORST,mp-12892,0.01,-1.8162634,1.8262634,CaSi2,"Ca,Si",3,P6/mmm
WORST,mp-309,0.29,-1.478449,1.768449,ThAg2,"Ag,Th",3,P6/mmm
WORST,mp-1073,0.29,-1.4585155,1.7485155000000001,CaCd,"Ca,Cd",2,Pm-3m
WORST,mp-1377,0.25,1.9156483,1.6656483,ThCu2,"Cu,Th",3,P6/mmm
WORST,mp-10721,0.26,-1.3479979,1.6079979,Ti2C,"C,Ti",12,Fd-3m
WORST,mp-1252,0.19,1.7758938,1.5858938,ZrBe2,"Be,Zr",3,P6/mmm
WORST,mp-2534,0.23,1.7948779,1.5648779,GaAs,"As,Ga",2,F-43m
WORST,mp-22040,0.25,-1.3020455,1.5520455,Sn7Ir3,"Ir,Sn",20,Im-3m
BEST,mp-5486,0.26,0.26328933,0.003289329999999979,Ca(CuSi)2,"Ca,Cu,Si",5,I4/mmm
BEST,mp-30731,0.39,0.3867488,0.0032512000000000096,HoSnPd2,"Ho,Pd,Sn",4,Fm-3m
BEST,mp-976,0.23,0.23319392,0.003193919999999989,V6Si5,"Si,V",22,Ibam
BEST,mp-7916,0.22,0.223141,0.003141000000000005,HfSiS,"Hf,S,Si",6,P4/nmm
BEST,mp-22673,0.36,0.35696882,0.0030311799999999667,MnInCu2,"Cu,In,Mn",4,Fm-3m
BEST,mp-12954,0.27,0.2728942,0.002894199999999958,CuBS2,"B,Cu,S",8,I-42d
BEST,mp-1008500,0.31,0.3073169,0.002683099999999994,BaO,"Ba,O",4,P6_3/mmc
BEST,mp-867109,0.31,0.3075416,0.0024583999999999717,ScZn2Ag,"Ag,Sc,Zn",4,Fm-3m
BEST,mp-21194,0.27,0.2675866,0.00241340000000001,NdGeRu,"Ge,Nd,Ru",6,P4/nmm
BEST,mp-864650,0.29,0.28778392,0.0022160799999999536,Ta2OsW,"Os,Ta,W",4,Fm-3m
BEST,mp-865160,0.31,0.31208295,0.002082950000000028,MgGeIr2,"Ge,Ir,Mg",4,Fm-3m
BEST,mp-1016932,0.16,0.16192748,0.0019274800000000092,MnZnO3,"Mn,O,Zn",5,Pm-3m
BEST,mp-864756,0.27,0.2718374,0.001837399999999989,Yb2MgIn,"In,Mg,Yb",4,Fm-3m
BEST,mp-1029448,0.27,0.27177083,0.001770830000000001,Li5OsN4,"Li,N,Os",20,Pmmn
BEST,mp-1401,0.26,0.2617314,0.001731399999999994,ZrZn2,"Zn,Zr",6,Fd-3m
BEST,mp-13463,0.31,0.3086595,0.0013405000000000222,FeNiPt2,"Fe,Ni,Pt",4,P4/mmm
BEST,mp-972653,0.33,0.3286698,0.0013302000000000036,SmHoTl2,"Ho,Sm,Tl",4,Fm-3m
BEST,mp-865752,0.38,0.37867194,0.0013280600000000198,YbGa2Ir,"Ga,Ir,Yb",4,Fm-3m
BEST,mp-20249,0.27,0.26874763,0.0012523700000000026,MnCoP,"Co,Mn,P",12,Pnma
BEST,mp-861640,0.32,0.32120943,0.0012094300000000113,Ti2AlRe,"Al,Re,Ti",4,Fm-3m
BEST,mp-11512,0.32,0.31910008,0.0008999199999999985,LiAl2Ir,"Al,Ir,Li",4,Fm-3m
BEST,mp-4090,0.24,0.23913081,0.0008691899999999919,Ce(SiRh)2,"Ce,Rh,Si",5,I4/mmm
BEST,mp-29352,0.28,0.27926075,0.0007392500000000246,Ba2PdO3,"Ba,O,Pd",6,Immm
BEST,mp-2187,0.28,0.27927846,0.0007215400000000205,TiSb,"Sb,Ti",4,P6_3/mmc
BEST,mp-16341,0.39,0.38933444,0.0006655600000000095,Li2HgGe,"Ge,Hg,Li",4,Fm-3m
BEST,mp-863690,0.3,0.2993583,0.0006416999999999673,Ti2MnCo,"Co,Mn,Ti",4,Fm-3m
BEST,mp-867187,0.31,0.31042486,0.0004248600000000269,ScInIr2,"In,Ir,Sc",4,Fm-3m
BEST,mp-4551,0.11,0.10967837,0.0003216300000000033,SrHfO3,"Hf,O,Sr",5,Pm-3m
BEST,mp-696,0.32,0.32023913,0.0002391299999999763,SiPt,"Pt,Si",8,Pnma
BEST,mp-776490,0.24,0.23979808,0.00020191999999999433,Al2O3,"Al,O",40,Pbca
